logo,url,description
DKV.jpg,www.karate.de,Die Homepage des Deutschen Karate Verband (DKV)
HFK.jpg,www.karate-in-hessen.de,Die Homepage des Hessischen Fachverband für Karate (HFK)
FH_Logo.jpg,www.frankfurt-university.de,Frankfurt University of Applied Sciences
kamikaze.jpg,www.kamikaze.de,Die Homepage des Karate-Gi Anbieters KAMIKAZE
budocenter.jpg,www.budocenter-karamitsos.de,Bundesleistungszentrum des DKV in Frankfurt Dojo von Bundestrainer Efthimios Karamitsos
psv-trier.gif,www.psvtrier.de,Polizei Sport Verein Trier, Abtl. Karate Trainer R. Premm
ansgar.gif,www.ansgar-winkelmann.de,Ärztlicher Betreuer der Karate-Sportler der FH-Frankfurt
ouchi.jpg,www.ouchi-dresden.de,Dojo von und mit Ansgar Winkelmann in Dresden
Worms.jpg,www.karate-dojo-ryushinkan.de,Karate Dojo Ryushinkan Worms Trainer Christoph Offen
PSV-MA-Logo_transparent.gif,www.psv-karate-mannheim.de/,Polizei Sportverein Mannheim Abteilung Karate
rkv.gif,www.karate-rkv.de,Die Homepage des Rheinland-Pfälzischen Karateverband
wkf.jpg,www.karateworld.org,Homepage der World Karate Federation
schlatt.jpg,www.schlatt-books.de,Karate Fachbuch Verlag Schlatt
Jan-Krieger.jpg,www.jkrieger-online.de,Homepage von Jan Krieger /Veranstaltungstechnik
